COD_ACC_FARMACOLOGICA	ACCION_FARMACOLOGICA
16	ANTIACIDO
22	ANTIANGINOSO
24	ANTIBIOTICO
26	ANTIBIOTICO _ ANTIINFECCIOSO
28	ANTIBIOTICO _ ANTIINFLAMATORIO
30	ANTIBIOTICO _ ANTISEPTICO
32	ANTIBIOTICO _ CORTICOSTEROIDE
34	ANTIBIOTICO URINARIO
36	ANTICOAGULANTE _ ANTITROMBOTICO
38	ANTICONCEPTIVO
40	ANTICONVULSIVANTE _ ANTIEPILEPTICO
42	ANTIDEPRESIVO
44	ANTIDEPRESIVO _ ANTIPSICOTICO _ NEUROLEPTICO.
46	ANTIDIURETICO
48	ANTIEMETICO _ ANTINAUSEOSO
50	ANTIEPILEPTICO _ ANTICONVULSIVANTE
52	ANTIESPASMODICO
54	ANTIESPASMODICO _ ANTICOLINERGICO
56	ANTIESPASMODICO _ ANTICOLINERGICO _ ANTIFLATULENTO
58	ANTIESPASMODICO URINARIO
60	ANTIGLAUCOMATOSO
62	ANTIHEMORROIDAL
64	ANTIHIPERTENSIVO _ ANTIANGINOSO
66	ANTIHIPERTENSIVO _ ANTIANGINOSO _ ANTIARRITMICO
68	ANTIHIPERTENSIVO _ DIURETICO
72	ANTIHISTAMINICO _ DESCONGESTIONANTE
74	ANTIINFLAMATORIO _ ANTIEDEMATOSO
76	ANTIINFLAMATORIO _ ANTIRREUMATICO
78	ANTIINFLAMATORIO NO ESTEROIDAL
80	ANTIJAQUECOSO _ ANTIMIGRAÑOSO
82	ANTIMIASTENICO COLINERGICO
84	ANTIMICOTICO _ CORTICOSTEROIDE
86	ANTIMICOTICO _ TRICOMONICIDA
88	ANTINEURALGICO _ ANTINEURITICO.
90	ANTIPRURIGINOSO _ ANTIPSORIASICO
92	ANTIPSICOTICO
94	ANTIPSICOTICO _ NEUROLEPTICO
96	ANTISEPTICO
98	ANTISEPTICO _ ANESTESICO _ BUCOFARINGEO
100	ANTITUSIVO _ DESCONGESTIONANTE
